tweet_id,thread_id,position,rough_intent_bucket,message_text,historical_reply_text
2316675,2316675,opener,Billing & Subscription,Wow @115888 just kicked me out of the student plan. I'm still a broke college student for another month !!!,Hey there! Can you DM us your account's email address or username? We'll check backstage /AR
2764549,2764549,opener,Billing & Subscription,Lewati tanpa batas dengan Premium. Dapatkan 3 bulan Premium kini hanya Rp 4.990.,
622831,622831,opener,Billing & Subscription,I'm having trouble purchasing premium after receiving an offer for 3 mos/9.99. I would appreciate an email to reach out too. Thanks,"Hey there! Can you DM us your account's email address and username? We take a look backstage, or you can email us at __email__. We'll be waiting /AL"
169711,169711,opener,Billing & Subscription,I cancelled my account over a month ago and STILL got a charge today.,Hey! We've just sent a DM your way. Let's carry on chatting there /TJ
1130693,1130693,opener,Advertisement Complaints,"Please @115888, do a good job analyzing the preferences of your users in order to bring accurated ads and promos. Please. Do that.","We hear you, Alcides! You can show your support for ads that are better suited to you by voting here: /JC"
1769713,1769713,opener,Advertisement Complaints,Why in hell is this in my advertisements? Seriously? I would rather lose my remaining 10% of hearing than ever hear that trash.,"Hey Justin, you can show your support for ads that are better suited to you by voting here: /TF"
1666821,1666821,opener,Advertisement Complaints,When you watch the “short” video to get 30 mins of ad free music and then 10 mins later you get an ad. @115888,"Hey, that doesn't sound good! Did the app crash at any point during the 30 minutes? That can cause the ad-free time to reset /MA"
961769,961769,opener,Advertisement Complaints,You're playing Christmas ads way too damn early. Can you not? Thnx.,Hey there! We hear you. Your feedback has been noted and passed onto the team /NQ
2976799,2976799,opener,Advertisement Complaints,"Trouble logging in to Spotify on new Amazon Fire TV. I normally log into Spotify with Facebook, but there is no option on the TV to log in with that method. I tried using the devices available through my phone but the TV didnt pop up. Can i set up a temp user/pass?",Hey there! Can you DM us your account's username or email address? We'll see what we can suggest /AP
1917936,1917936,opener,Advertisement Complaints,"Dear @115888, I was interested in that book the first 10 ads I heard. Now I'm can't stand it already.","Hey Claudio, thanks for your feedback - we'll pass it on. For now, check out if you haven't tried Premium yet /AY"
2641094,2641094,opener,Advertisement Complaints,I keep trying to listen to song but these zero second ads or ads that dont play keep from doing that,"Hey, that doesn't sound right. Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /JE"
1208475,1208475,opener,Advertisement Complaints,"on PS3, your ads seem to also skip songs","2: Once closed, reopen the app. Let us know if that makes any difference /RC"
2815941,2815941,opener,Advertisement Complaints,"Dear @115888, Don't you only play commercials on the free version of the app? Why are you advertising @1731 on the free app? If I had enough money to own a Cadillac I'd have no problem paying to listen to custom radio. Also, I'm not going to suddenly realize I need a Caddy.","Hi there! We're sorry about that, and thanks for sharing your thoughts. We'll make sure to pass your feedback on to the relevant folks /AK"
1918979,1918979,opener,Advertisement Complaints,Hey @117168 you need to work on your algorithms. I don't want ads from @21510.,Hi Alyssa! Can you DM us your account's email address and a screenshot of the ad you're getting? We'll take a look backstage /AU
2005273,2005273,opener,Playback & App Bugs,My Spotify literally doesn’t even play songs. It lags all the time. Don’t use Spotify. It’s completely unreliable. #doapplemusic @115888,"Hey, that doesn't sound good at all! What device, operating system, and Spotify version are you running? We'll see what we can suggest /RA"
2653009,2653009,opener,Playback & App Bugs,"Hey @115888 why all of a sudden has my keyboard pause, play, skip button stop working? I have to go into the playlist and now do it all. Is that new and how can I change it back? Thanks.","Hey Lindsay, help's here! Can you let us know the device, OS, and Spotify version you're running? We'll see what we can suggest /DB"
252914,252914,opener,Playback & App Bugs,I left because I can't get my free trial to work offline and there is no one to talk to to help. And I really really wanted this 😢😢,Hi there! We've just sent a DM your way. Let's carry on chatting there /ME
950428,950428,opener,Playback & App Bugs,I keep getting 'Can't play the current song'?,"Hey, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /RS"
2753736,2753736,opener,Playback & App Bugs,the new search function is worthless while in offline mode. How can I modify it to search for my songs by keyword?,"Hey Paul, we hear you! Rest assured, your feedback will be passed on to the right folks /NS"
1574540,1574540,opener,Playback & App Bugs,I'm still stuck on free! This has been a week now. Tidal or pandora or Apple Music wouldn't do this shit.,Hi Gaby! Could you send us a DM with your account's email address? We'll take a look backstage /DR
1865552,1865552,opener,Playback & App Bugs,can you plz help to fix it so next time I could hear it offline. Tq. (2),"Hey, sorry to hear that! Can you fire over your account's username or email address via DM? We'll take a look under the hood /JM"
496124,496124,opener,Playback & App Bugs,"I can't get spotify to play any songs. I was playing one, tried to skip it but then it just wouldn't play any songs at all.","Hey Melanie, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL"
2307186,2307186,opener,Playback & App Bugs,"Hey, can you help me get my songs on my iPod and keep them on my computer. I cannot play songs only shuffle but on the computer version I can play any song.",Hey Nathaniel! The cavalry's here. Can you DM us your account's email address? We'll see what we can suggest /KB
2668076,2668076,opener,Playback & App Bugs,"Hey @115888 how is it I'm supposed to have a shower without listening to @103044's EP ""Likes me like that"" because it magically disappeared of your app????","Hey! Fingers crossed we'll be able to have it again soon, but there's info about Spotify content here: /K"
508837,508837,opener,Platform-Specific Technical,Why does your desktop app open quickly but then take a million damn years to load? @SpotifyCares,"Hi Jonny! The cavalry's here. What desktop (make and model), operating system, and Spotify version are you using? We'll see what we can suggest /AU"
2921949,2921949,opener,Platform-Specific Technical,"Hey @SpotifyCares - you guys having iOS app issues now? I have a connection but getting ""error "" screen.",Hey there! Everything should be running smoothly now. Let us know if this is still happening /GS
360173,360173,opener,Platform-Specific Technical,how do I search my own playlist for a song on my iPhone app?,Hey Cathy! Have you tried going to the top of the playlist then swiping down? Doing this should reveal a search bar /JL
2047624,2047624,opener,Platform-Specific Technical,I just love how @115888 skips like a broken CD player from 1998 on this Android 8.0 garbage.,
1247534,1247534,opener,Platform-Specific Technical,Would be cool to have some visualizations to watch when you go full screen on Spotify PC. Like the old windows media player.,Hey! We hear you loud and clear. We can’t make any promises but we’ll pass your feedback onto the right folks /NQ
2470246,2470246,opener,Platform-Specific Technical,the webplayer hasn't been working for weeks. Is that normal?,"Hey there! The web player at should be working perfectly. If you're having issues, just send us a screenshot so we can have a look /KT"
1074047,1074047,opener,Platform-Specific Technical,"Yo @115888, the app keeps crashing every time I try to share a song on my pixel!","Hi Anelise! Our best tech folks are on the case as we speak. Hopefully, we'll have a fix soon /AU"
2916605,2916605,opener,Platform-Specific Technical,I think your web player is down. My web player won't play any music.,HI Aashti! Everything should be running smoothly now. Let us know if this is still happening /CE
1691147,1691147,opener,Platform-Specific Technical,I keep getting signed out of the web player! Just started today. Is that a bug?,"Hey Cam, that's odd! Can you let us know what web browser you're using? We'll be right here waiting /KL"
2218914,2218914,opener,Platform-Specific Technical,When will your app be optimized for the iPhone X display? :/,"Hey Dave! We don't have any info on this right now, but we'll let the right team know it's something you'd like to see /BP"
2920637,2920637,opener,Content & Feature Requests,please please please can you bring back the feature on the app where u can hold down on a song and preview it because that was so good and helped my life so much and I would be very grateful if it came back I do not know why it disappeared,
2342555,2342555,opener,Content & Feature Requests,"Dear @115888 , a suggestion: put in the songs of the Discover Weekly and Release Radar Playlist a heart signal so we can choose which songs we like it. And after that, make the algorithm learn from that.",
2010982,2010982,opener,Content & Feature Requests,Low key annoyed that on the @115888 app you can’t order it by artist and have the songs in order at the same time 😡😡,Hey there! This sounds like a great idea. Suggest it in our Community at and get support from other users /CH
407597,407597,opener,Content & Feature Requests,for the love of GOD please bring back the Touch Preview feature! Best part of the app’s UI gone. I’m quite sad ☹️,Hey Tim! We have more info about this here: Give us a shout if you have any questions /MQ
704592,704592,opener,Content & Feature Requests,this disturbing malignant vandalism and what it says abt the conditions these recording artists work in.,"Hey there! We appreciate the feedback. Not to worry, we'll make sure it's passed on to the right folks /MT"
2879846,2879846,opener,Content & Feature Requests,"/@SpotifyCares quick Q. When I try to add my own public playlist (link below) to my artist page by searching for ""Breaking Boston"" it doesn't come up. Is there any way to add immediately, or do I need to wait for it to index or something?",
2618522,2618522,opener,Content & Feature Requests,hello tf I wanted to spend my Friday crying WHILE listening to red velvet's new album but I'm only doing one of it now??,"Hey there! Just to clarify, are you only able to play one song from their new album? Can you send us the Album Link? Just tap the three dots &gt; Share &gt; Copy Link. What country is your account set to? /JP"
2045332,2045332,opener,Content & Feature Requests,ur way ofcrediting artists &amp; composers in classical msc is confusingWho r the composers in this album,Hey there! We can confirm that the composers on this playlist are the ones listed after their tracks and are credited accordingly /CO
1074052,1074052,opener,Content & Feature Requests,is there a way to report when songs are put under the wrong artist? Because this isn't El-P I'm listening too.,"Hey, we can help! Can you send us the Song Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll see what we can do /JP"
52333,52333,opener,Content & Feature Requests,WHY IS BTOB's COMPLETE AND I MEAN ALBUMS REMOVED ON SPOTIFY????,Hi there! Sometimes content is removed due to licensing. You can find more info at /RP
2041416,2041416,opener,Family Plan Management,"Hello, I need your help, I have a Spotify Family Premium, but my children can not connect, although they are living at the same address.",Hey! Help's here. Can you DM us the usernames and email addresses used for your children's accounts? We'll take a look backstage /JL
2071118,2071118,opener,Family Plan Management,Hi @115888 have an invite pending to my family plan but the person isn’t getting an email invite. Help?,"Hi there! Don't worry, we're here to help. Can you DM us both your account's email addresses or usernames? We'll take a look backstage /MT"
2963360,2963360,opener,Family Plan Management,"Hi pls can you r ply to my DM re the family premium account issue, thanks",Hey Andrew! We've just sent you a bit more info over DM. We'll carry on helping out there /JQ
826518,826518,opener,Family Plan Management,"Activated a Family account this morning (__email__) - 3 members invited, 1 OK, the other not receiving the invitation.",Hey! Can you DM us the email addresses of your family members? We'll take a look backstage /JL
653091,653091,opener,Family Plan Management,"Why can't I join the a Premium-family-group when everything is in order? The form that I have to fill out just says ""3 - Ops, something went wrong. Try again"". And ive tried alot of times :/","Hey Rutta! Can you DM us your account's email address, as well as that of the Family plan owner's? We'll take a look backstage /SY"
2219855,2219855,opener,Family Plan Management,Hey @115888 How come you have no #blackfriday or #CyberMonday discounts... For instance on family premium packages?,"Hey! We're taking all the feedback on this. No worries, we'll make sure to pass on your thoughts to the right folks. Give us a shout if you need a hand with anything else. We're just a tweet away /RC"
1792985,1792985,opener,Family Plan Management,help help help i need help with my account.... my family plan heeeeeeeeeeeeelp!!!,Hey Angie! The cavalry's here. Could you DM us your account's email address or username? We'll take a look under the hood /KB
1366564,1366564,opener,Family Plan Management,please allow users to filter explicit content. Spirit is great but it's not child or family friendly,Hey! Spotify doesn’t censor music – we make it available in whatever form it’s given to us. More info here: /PX
2020339,2020339,opener,Family Plan Management,"Good afternoon. I made payment for family premium accounts, but did not update account status. Iphone 6, iOS 10.2.1.",Hey Lucas! We've sent a DM your way. We'll carry on helping you there /SJ
83647,83647,opener,Family Plan Management,"Hi spotify, I am having trouble using the Family membership feature. One of the members does not appear to be getting invites even although they have had an account for several years previously. Can you help?","Hey Lewis, we've come to the rescue! Could you DM us the email address of the family member that you're trying to invite? We'll see what we can suggest /RE"
2073150,2073150,opener,Regional/Country Restriction,Why @115888 is not available in our country????,Hey Maisha! We're launching regularly in countries around the world. Sign up here to be first to hear: /FR
450856,450856,opener,Regional/Country Restriction,oh yea why not direct them to a link to waste their time :D . I CAN NOT change my change my location .,"Hey, that's not cool! Could you DM us your account's email address and username? We'll take a look 🔍 /JZ"
1697994,1697994,opener,Regional/Country Restriction,- I have set my Android device to store all downloads on my SD card with 25gb of space yet when checking my device's storage the downloads are being stored there instead. I've cleared data and cache and verified the setting for the storage location.,"Hey Brian, help's arrived! Can you tell us what device, operating system, and Spotify version you're using? We'll see what we can suggest /CH"
1935420,1935420,opener,Regional/Country Restriction,Okay but when are we getting @115888 in our country? It's honestly just rude at this point,"Hey there! Just to check, which country are you currently located? /RC"
2653178,2653178,opener,Regional/Country Restriction,I have moved from the UK to the USA and want to take advantage of Hulu offer. Changed payment method to US card but it won't recognize the country change to give me Hulu. How do I solve this?,Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ
2429657,2429657,opener,Regional/Country Restriction,help! My account won’t let me log in and keeps coming up with a message saying “you can only use Spotify abroad for 14 days” I immigrated 2 months ago! Only just got this message...😩,Hey Shaz! Can you DM us your account's email address? We'll take a look backstage /SJ
821808,821808,opener,Regional/Country Restriction,how do I disable the videos on the playlist. I want 2listen 2the songs &amp; my playlist stops Bc the country can’t play the vid,"Hey! This isn't possible, but we appreciate the feedback. We’re always testing in order to improve &amp; we'll pass on your thoughts /MX"
563524,563524,opener,Regional/Country Restriction,"hello, i live in Uk, i got premium of your app guys and it doesnt let me log in in my spanish ps4 saying i been 14 days abroad... with premium you can listen your music everywhere no?",Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ
1571912,1571912,opener,Regional/Country Restriction,Help! I can't login to my account. Says I can only use it abroad for 14 days... but I will be staying here for a year.,Hey! We've just sent you a bit more info over DM. We'll carry on helping out there /NY
2614439,2614439,opener,Regional/Country Restriction,Btw my account is U.S. based but I am always overseas using vpn. Should I change my country?,"Can you DM us your account's email address? We'll take a look. Also, this is the link for your offline songs: /KM"
152238,152238,opener,General Complaint/Frustration,the way you guys keep putting my music on otherr profiles is annoying now!,"Hey, sorry about that! We’d recommend reaching out to your distributor or aggregator. They'll work with our team to make sure your artist page gets fixed up /JM"
1819052,1819052,opener,General Complaint/Frustration,If I’m forced to listen to any more of these trash german rappers I’m gonna kill myself,
688074,688074,opener,General Complaint/Frustration,uh yea can u let me change my username pls ?? terrible mistake i made back then,Hey help's here! Can you DM us your account's email address? We'll take a look backstage /GK
2133710,2133710,opener,General Complaint/Frustration,I hate the fact that @115888 does not have @55648 music anymore 😭😭 JULION GET YOUR SHIT TOGETHER!!,Hey! Licensing agreements can affect music availability. There's info about Spotify content here: /RC
2580743,2580743,opener,General Complaint/Frustration,ugh everytime i get a snapchat notification it stops my spotify music its so annoying,"Hey Torin! Can you let us know your device, operating system, and Spotify version? We'll see what we can suggest /AP"
1655983,1655983,opener,General Complaint/Frustration,"Please help @SpotifyCares, it's really annoying.","Hey there! Can you let us know the device, operating system, and app version you're using? We'll see what we can suggest /PB"
777635,777635,opener,General Complaint/Frustration,Yo @115888 why did you put my song list in alphabetical order!!!!!????? I hate it 😖,"2: Also, if you could let us know what device, operating system, and Spotify version you're using, that'd be great /NS"
289763,289763,opener,General Complaint/Frustration,I absolutely hate @115888,"Hey there, don’t worry, we're here to help. What’s happening exactly? Can you let us know the device/OS you’re using? /TB"
2712669,2712669,opener,General Complaint/Frustration,got the worst customer service,Hi there! Sorry to hear that. What's happening exactly? Can you DM us your account's username or email address? We'll take a look backstage /AP
1866044,1866044,opener,General Complaint/Frustration,"my discover weekly playlist suck, what up?","Discover Weekly is based on what you, and others like you, are listening to. Hopefully it’s more in tune with your tastes next week! /CG"
1982799,1982799,opener,Praise/Off-topic,WHEN IS CRAZY SEXY COOL GOING TO BE ON SPOTIFY @SpotifyCares @3401 THIS IS NOT A DRILL I NEED THIS,"Hi there! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: /DV"
1450672,1450672,opener,Praise/Off-topic,I appreciate you @115888 @125633 🙏🏼🙏🏼🙏🏼,Hey there! Thanks for the nice words. You’ve made us blush a little. Give us a shout if you need anything else /KP
2404007,2404007,opener,Praise/Off-topic,I remember you had a playlist for 'classical music for the office' or 'Office Classical Music' (something like that). I can't seem to find it now. Any chance you could send me a link? Thank you.,Hey there! Can you let us know if this is what you're looking for: /PL
2032691,2032691,opener,Praise/Off-topic,this is crazy thank you!! Desire on Spotify &amp; Chill ✌️,Hey there! This sounds like something for our Artist Services friends. You can reach out to them here: /KP
1197264,1197264,opener,Praise/Off-topic,.@SpotifyCares hi can u guys make this available to stream i need it for science and a good time thanks luv u,2: Community post on track requests: /KB
1233751,1233751,opener,Praise/Off-topic,Hey @115888 how about you stop suggesting Rihanna in my Metal playlist. Thanks.,We'd suggest listening to your favorite music as much as possible! Your recommendations will only get better /RP
708309,708309,opener,Praise/Off-topic,"if you could add the ‘hold a song to hear a snippet’ on mobile back that’d be great 👍🏽. Either way, ily","We hear you loud and clear, Manuel! We can’t make any promises but we’ll pass your feedback onto the right folks /RH"
660580,660580,opener,Praise/Off-topic,"Hey there @115888 // @SpotifyCares ! Can someone be sure to add P.O.V by dvsn to the next ""Are &amp; Be"" playlist please? I think it will fit the vibe y'all are looking for just as well as ""Mood"" does. Thanks!","Hey! Thanks for the feedback. Our Curation team are independent &amp; use taste, data, research, and trends to create playlists, but we’ll pass on your suggestion /NQ"
1283276,1283276,opener,Praise/Off-topic,Thank you!,"No worries! We're glad we could help out. If you ever need anything else, just shout and we'll come running 🏃 /DF"
1339549,1339549,opener,Praise/Off-topic,Great support from @SpotifyCares really top-notch customer care!,"Aw shucks, we're blushing! Thanks for the feedback, It's music to our ears 🎶 /TR"
2230792,2230792,opener,Unclear,Still not fixed the sharing function on androids/Pixels 🙃 @SpotifyCares,Can you let us know your exact Spotify version? We'll see what we can suggest /JP
2912453,2912453,opener,Unclear,getting a 504 gateway timeout. reports others are too.,Hi Ethan! Thanks for letting us know. Everything should be back up and running again soon /CP
453472,453472,opener,Account Access/Login,so my account is hacked into again. This is the 3rd time in the past 6 months and I've changed my password several times. Can you please help fix this. I don't want to keep paying for premium if someone else keeps hacking into my account,Hey there! Can you DM us your account's email address? We'll take a look backstage /RB
38936,38936,opener,Account Access/Login,Some idiot hacked my Spotify account and changed my email. Best believe I'm getting it back,Hey Mark! We've sent a DM your way. Check your inbox for it /SJ
1643548,1643548,opener,Content & Feature Requests,hi! Is there a way to get a notification whenever new songs/albums are released of the artists you follow?,2: You can also follow your Release Radar playlist for the latest updates based on your listening habits /BH
1888717,1888717,opener,Content & Feature Requests,Still no trace of @46572's first album #SomethingWild 😢It's already 20 years old and is the only one missing!,"Hey James! We have some more info about missing content here: If you have any other questions, give us a shout /KL"
2121301,2121301,opener,Advertisement Complaints,"This is a bad ad @115888. Also, 'featuring' is basically invisible.","Hey Jordan! We appreciate your feedback. Not to worry, we'll make sure it's passed on to the relevant folks 💚 /NG"
2057498,2057498,opener,Billing & Subscription,hey you want to tell me why you guys keep changing my membership to full price when I'm still paying full price for school?,"Hi Elena, help's here! Can you DM us with your account's username and email address? We'll see what's going on /WW"
654666,654666,opener,Billing & Subscription,"Hi @SpotifyCares, I want to change the date that money leaves my account for premium, is this possible or do I have to cancel and renew again??","Hey Racha! We're afraid it's not possible to change your billing date. You would need to cancel your subscription, then resubscribe on the day you'd like to be charged. We hope this helps /JX"
2272757,2272757,opener,Platform-Specific Technical,I tapped on album artwork and now I can’t get back ... iPhone X problems ... please fix / update the app soon #HadToCloseTheApp,"Hey Hulio! Don't worry, we’re working on it as we speak. In the meantime, can you try closing and reopening the app? Does that help? /CX"
2057799,2057799,opener,Unclear,Can we please have all Daddy Yankee songs from 2002 onwards bc I cba with just all this weird Zumba stuff :),"Hey Luis! We’d love to have all of their stuff available, but we have some info about content here: /AN"
1789498,1789498,opener,Account Access/Login,"HELP! I forgot password, so reset email has been sent and it isn't too my usual email. HOW DO I FIND OUT WHICH EMAIL I USED?","Hey Charnell, help's here! If you can still remember the email address you registered on your account, can you send it via DM? /RR"
1247568,1247568,opener,Praise/Off-topic,I have a very important request to make. UPLOAD GOT7'S SONGS IN THE U.S. SO iGOT7S CAN HEAR OUR BOYS. PLEASE &amp; THANK YOU.,"Hey! We’d love to have all of their stuff available, but we have some info about content here: /NQ"
1484878,1484878,opener,Unclear,hey guys I need a help. can u tell me why appears “something went wrong” when I put the familiar code in the user adriananery1,Hey there! Can you DM us your account's email address? We'll take a look backstage /RH
1313511,1313511,opener,Regional/Country Restriction,I having troubles again with #spotify. It seems i cannot even go out of the country because now i have to change all settings??,Hey there! Can you DM us your account's email address or username? We'll take a look /NS
1544655,1544655,opener,Unclear,All my personal playlists are gone. HELP!?,"Hey, that's not cool! Can you still see your playlists using any other devices? We'd suggest logging in to different ones to make sure /JE"
162242,162242,opener,Playback & App Bugs,I’ve noticed that shuffle hasn’t been working for me lately. It will start on a random song but then just continue through the playlist normally. Any reason?,"Hey Jarod, help's here! Does logging out &gt; restarting the device &gt; logging back in help? Keep us posted /TB"
1578388,1578388,opener,Billing & Subscription,"is starting to piss me off, why isn't there an option to edit aka cancel your account on the app 😡",Hey! Don't worry help's here. Can you DM us your account's email address? We'll take a look backstage /MG
2580751,2580751,opener,General Complaint/Frustration,"isn't it about time you increased the ridiculous 3,333 song limit, its 2017 ffs.","Hi there! We hear you. We’d love to see your vote, and hear your feedback on this idea: /XF"
2259566,2259566,opener,Billing & Subscription,spotify isn't allowing me to upgrade to the student discount 💁🏽‍♀️,Hey there! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN
2239734,2239734,opener,Billing & Subscription,I swap to @115888 Premium and all of a sudden my Spotify doesn’t work 😩🤦🏽‍♀️,"Hi Dani! Don’t worry, we can help. What’s happening exactly? Can you let us know the device and version of Spotify you’re using? /DR"
755225,755225,opener,Unclear,"Excuse me, @115888 , why don’t you have a sleep timer. Pls. It’s all I need in life.","Hey, a sleep timer is a great idea! Help make it happen by adding support here: /RB"
683695,683695,opener,Billing & Subscription,I have a paid subscription but i am no longer able to access my account. I have already been charged as well so it's not billing.,Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /CO
1983446,1983446,opener,Billing & Subscription,you were supposed to cancel my subscription yet you are still charging my account! No phone number to call DM immediately,"Hi! We're afraid we don't have telephone support, but we'll be happy to help here. Can you DM us your account's email address? /RB"
622999,622999,opener,Billing & Subscription,"Hey I work at starbucks, but for some reason I cant get my free spotify premium, it always gives me an error","Hey there! As a Starbucks Partner, you can find out how to start or manage your subscription by heading to the Starbucks Partner Hub or Retail Portal. You can also call the PCC Center on 1866-504-7368. Let us know if you need help with anything else /BP"
1766587,1766587,opener,Billing & Subscription,having trouble with my premium + Hulu subscription - sent you a DM. Please help!,"Hey Sarah, we've just sent a DM back your way. Let's carry on chatting there 🙂 /TR"
1901676,1901676,opener,Unclear,"Love when @115888 deletes all my downloaded tracks...time to download all 1,500 again 😣","Hey, sorry to hear that! Follow the steps under “Downloads unexpectedly removed” at They should help with this /AR"
2527187,2527187,opener,Unclear,".@115888 if you do not do something about this 10,000 song limit I️ will have to leave you for @115948","We hear you loud and clear, Stephanie! We can’t make any promises, but we’ll pass your feedback onto the right folks /RA"
376884,376884,opener,Account Access/Login,"seems like my spotify account has been hacked, I cant login with facebook since yesterday. Can you help me retrieve it please?",Hey Hanson! Can you DM us your account's email address? We'll take a look backstage /JL
2021242,2021242,opener,Unclear,Hey @115888 how do I improve what songs you give me in my discover because there dislike button is gone and I rarely find songs I like,Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS
1867188,1867188,opener,Platform-Specific Technical,Question about how to update my address in my profile. LMK if you can help.,"Hey Allison! We're afriad there's currently no way for users to change the address on their accounts. Any questions, give us a shout /TF"
762617,762617,opener,Regional/Country Restriction,"can you make Spotify worldwide, a lot of us wants to use it but it's not available in our country",Hey there! Where are you currently located? We'll see what we can suggest /SJ
1793563,1793563,opener,Content & Feature Requests,there should be feature where I pick a song and it automatically makes a playlist of similar songs from my library,Hey! This sounds like a great idea. Suggest it in our Community at and get support from other users /JS
2272752,2272752,opener,Platform-Specific Technical,"looks like you updated the app recently and because mine was set to offline mode it wants me to set it to online but how to do it without loging on, oxymoron! old problem, commonnfix it for your paying users!","Hey there, help's here! You can use offline mode for 30 days. After that, you need to go online to use the feature for another month /AD"
1487930,1487930,opener,Praise/Off-topic,are you free lol ?,Hey there! There's info on Spotify Free at Hope this helps 🙂 /AR
2747487,2747487,opener,Billing & Subscription,"I just got the student premium and paid for it, but it hasn't updated and no invoice is on my account!!! why isn't it working",Hey Corey! We've just sent a DM your way. Let's carry on chatting there /CE
232227,232227,opener,Billing & Subscription,"I renewed my premium, still can't use the features. Help a gal out?",Hi! We've just replied to your email. We'll continue helping you there /CX
2036944,2036944,opener,Unclear,Why is my Hulu account not authorizing? @SpotifyCares,Hey Brenda! We're here to help. Can you DM us your account's email address? We'll take a look under the hood /AN
1302074,1302074,opener,Unclear,"im having a issue with the mobile app, can you pls dm me ?","Hey! Don’t worry, we can help. What’s happening exactly? Can you let us know the device/OS you’re using? We'll see what we can suggest /CG"
1970432,1970432,opener,Billing & Subscription,"I still had an issue, I just can’t restore my premium account and offline music from recovery playlist",Hi Jody! Could you send us a DM with your account's email address and username? We'll do our best to help out /NJ
1002351,1002354,follow_up,Unclear,My spotify account is down because I reply mine purchase but this was a repil. Can you check this,2: Could you send us more info via DM instead? We'll take a look for you /NJ
340037,340038,follow_up,Unclear,united states 🇺🇸,Got it! You can find a link to his debut album here: /TB
2239746,2239753,follow_up,Content & Feature Requests,It is excluded available album?,"No worries, those are singles that were released so far, but hopefully we'll have the full album available soon /LP"
