tweet_id,author_id,inbound,created_at,text,response_tweet_id,in_response_to_tweet_id,thread_id,text_raw,text_clean,predicted_intent,confidence,reasoning
2524687,718922,True,Thu Nov 16 02:55:33 +0000 2017,@spotifycares wont process my credit card even though all info is accurate- what can i do? Trying to get my premium account back,2524686,,2524687,@spotifycares wont process my credit card even though all info is accurate- what can i do? Trying to get my premium account back,wont process my credit card even though all info is accurate- what can i do? Trying to get my premium account back,Billing & Subscription,1.0,Inquiry directly addresses billing & subscription matters related to credit card processing issues.
2938718,125829,True,Wed Nov 29 10:47:20 +0000 2017,@SpotifyCares @115888  so after days of no luck im ditching Spotify. Ive been passed backwards and forwrds regarding payment help and its totally unacceptable.,2938717,,2938718,@SpotifyCares @115888  so after days of no luck im ditching Spotify. Ive been passed backwards and forwrds regarding payment help and its totally unacceptable.,so after days of no luck im ditching Spotify. Ive been passed backwards and forwrds regarding payment help and its totally unacceptable.,Billing & Subscription,0.95,"The message is focused on payment help issues, which falls under the Billing & Subscription intent category."
430237,217298,True,Tue Oct 10 13:37:45 +0000 2017,"@115888 finally added the suburbs by arcade fire, thanks guys!! Next up...acid rap? #cocoabutterkisses",430236,,430237,"@115888 finally added the suburbs by arcade fire, thanks guys!! Next up...acid rap? #cocoabutterkisses","finally added the suburbs by arcade fire, thanks guys!! Next up...acid rap? #cocoabutterkisses",Content & Feature Requests,1.0,Customer is requesting to add a specific song to their playlist.
679998,282249,True,Thu Nov 23 08:05:49 +0000 2017,"Dear @SpotifyCares, please don't ever recommend Christmas songs to me. Especially in November. Thanks. #bahhumbug https://t.co/rdMbPowa1d",679997,,679998,"Dear @SpotifyCares, please don't ever recommend Christmas songs to me. Especially in November. Thanks. #bahhumbug https://t.co/rdMbPowa1d","Dear @SpotifyCares, please don't ever recommend Christmas songs to me. Especially in November. Thanks. #bahhumbug",General Complaint/Frustration,1.0,The message expresses dissatisfaction with Spotify's recommendation of Christmas songs in November.
492396,232364,True,Fri Dec 01 15:50:54 +0000 2017,"@SpotifyCares I just switched to the $99 dollar premium for the year - this replaces my month to month account, correct? Thanks!",492395,,492396,"@SpotifyCares I just switched to the $99 dollar premium for the year - this replaces my month to month account, correct? Thanks!","I just switched to the $99 dollar premium for the year - this replaces my month to month account, correct? Thanks!",Billing & Subscription,1.0,Inquiry addresses the switch to a yearly premium subscription and confirms the replacement of a month-to-month account.
2947627,682805,True,Wed Nov 29 15:37:50 +0000 2017,@SpotifyCares Is there really no way to disconnect my spotify account from facebook if disconnect button is not an option in settings??,2947626,,2947627,@SpotifyCares Is there really no way to disconnect my spotify account from facebook if disconnect button is not an option in settings??,Is there really no way to disconnect my spotify account from facebook if disconnect button is not an option in settings??,Account Access/Login,1.0,Inquiry addresses the ability to disconnect Spotify account from Facebook settings.
639928,271795,True,Wed Nov 22 18:24:34 +0000 2017,@SpotifyCares you should let users put their playlists into different folders... that’d be innovative,639926,,639928,@SpotifyCares you should let users put their playlists into different folders... that’d be innovative,you should let users put their playlists into different folders... that’d be innovative,Content & Feature Requests,1.0,Inquiry addresses a feature request for playlists in different folders.
447877,221114,True,Thu Nov 30 19:09:00 +0000 2017,"@SpotifyCares  i cant log into my account and when i try to change the password it says The CSRF token is invalid, please help",447876,,447877,"@SpotifyCares  i cant log into my account and when i try to change the password it says The CSRF token is invalid, please help","i cant log into my account and when i try to change the password it says The CSRF token is invalid, please help",Account Access/Login,1.0,The message directly addresses issues with logging into the account and changing the password.
2555541,725673,True,Thu Nov 16 15:30:38 +0000 2017,@115888 ummm why is Take Care suddenly non existent... https://t.co/WK1ubV01Dw,2555540,,2555541,@115888 ummm why is Take Care suddenly non existent... https://t.co/WK1ubV01Dw,ummm why is Take Care suddenly non existent...,Content & Feature Requests,1.0,Inquiry addresses the disappearance of a specific song from the user's library.
165053,154264,True,Fri Nov 24 19:08:08 +0000 2017,I’m trying to buy a subscription @115888 so I️ got charged 4 times but still can’t do anything on my app,165052,,165053,I’m trying to buy a subscription @115888 so I️ got charged 4 times but still can’t do anything on my app,I’m trying to buy a subscription @115888 so I️ got charged 4 times but still can’t do anything on my app,Billing & Subscription,1.0,Inquiry addresses subscription charges and payment method issues.
